paper_id	affiliations
chen18e_interspeech	['beckman institute, university of illinois at urbana-champaign, usa', 'institute for infocomm research, a*star, singapore']
bullock18_interspeech	['university of texas at austin', 'george mason university']
xie18_interspeech	['faculty of architecture and urban planning, chongqing university, china.', 'key laboratory of new technology for construction of cities in mountain areas,', 'ministry of education, chongqing university, china.', 'school of psychology and therapeutic studies, university of south wales, uk', 'department of psychology, bournemouth university, uk.']
gerazov18_interspeech	['feeit, university of ss. cyril and methodius in skopje, macedonia', 'univ. grenoble-alpes, cnrs, grenoble-inp, gipsa-lab', ' grenoble, france', 'division of psychology and language sciences, university college london, uk']
lin18b_interspeech	['department of electrical engineering, national tsing hua university, taiwan', 'department of psychiatry, national taiwan university hospital and college of medicine, taiwan', 'most joint research center for ai technology and all vista healthcare, taiwan']
yamamoto18_interspeech	['graduate school of systems engineering, wakayama university, japan', 'ntt communication science laboratories, japan']
kotti18_interspeech	['speech technology group, toshiba research cambridge, uk', 'school of electrical & computer engineering, technical university of crete, greece', 'department of computer science, university of crete, greece']
sadasivan18_interspeech	['department of electrical communication engineering', 'department of electrical engineering,', 'indian institute of science, bangalore 560012, india']
ding18c_interspeech	['department of computer science and engineering, texas a&m university, united states']
mack18_interspeech	['emanu¨el a.p. habets', 'international audio laboratories erlangen', ' erlangen, germany']
jelil18_interspeech	['department of electronics and electrical engineering,', 'indian institute of technology guwahati, guwahati-781039, india', 'department of electrical engineering,', 'indian institute of technology dharwad, dharwad-580011, india']
li18d_interspeech	['department of electrical engineering, national tsing hua university, taiwan', 'department of emergency medicine, chang gung memorial hospital, taiwan', 'department of emergency medicine, tao-yuan general hospital, taiwan', 'faculty of medicine, national yang-ming university, taiwan', 'most joint research center for ai technology and all vista healthcare, taiwan']
song18_interspeech	['harbin institute of technology, china', 'harbin normal university, china']
braun18_interspeech	['institute of neuroinformatics, university of zurich and eth zurich, switzerland']
pulugundla18_interspeech	['phonexia s.r.o., czechia', 'iiit hyderabad, india']
fu18b_interspeech	['national laboratory of pattern recognition, institute of automation, chinese academy of sciences, beijing, china', 'school of artificial intelligence, university of chinese academy of sciences, beijing, china', 'cas center for excellence in brain science and intelligence technology, beijing, china']
vythelingum18_interspeech	['voxygen, pleumeur-bodou, france', 'lium, le mans university, france']
godard18_interspeech	['∗limsi, cnrs, universite paris-saclay, orsay, france', '⋆lig, uga, g-inp, cnrs, inria, grenoble, france', '⋄but, brno, czech republic', '†csee, university of essex, uk', '‡cristal, universite de lille, france', 'contact:', '(1) both first authors have contributed equally to this paper']
nguyen18_interspeech	['liulishuo', 'www.liulishuo.com/en']
m18c_interspeech	['indian institute of technology, kharagpur, india']
knill18_interspeech	
lee18b_interspeech	['columbia university, usa']
toman18_interspeech	['vocalid, inc.']
kannan18_interspeech	['google brain, google, inc., usa']
shahin18_interspeech	['dept.of electrical and computer engineering, texas a&m university, doha, qatar', 'faculty of health sciences, the university of sydney, sydney, australia']
farah18_interspeech	"[""pediatric otolaryngology department, la timone children's hospital (aphm), marseille, france"", 'aix-marseille univ, cnrs, laboratoire parole langage, aix-en-provence, france', 'faculty of medicine, saint-joseph university, beirut, lebanon']"
bansal18_interspeech	['school of informatics, university of edinburgh, uk', 'stellenbosch university, south africa', 'toyota technological institute at chicago, usa']
huang18_interspeech	['signal analysis and interpretation laboratory (sail), university of southern california']
ateeq18_interspeech	['birzeit university, palestine']
montacie18_interspeech	['stih laboratory, paris sorbonne university', ' rue serpente', ', paris, france', 'stih laboratory, paris descartes university', ' rue des saints-peres', ', paris, france']
strimel18_interspeech	['alexa machine learning, amazon.com']
fontan18_interspeech	['archean labs, archean technologies, montauban, france', 'waseda university – sils, tokyo, japan']
chen18f_interspeech	['speechlab, department of computer science and engineering, shanghai jiao tong university', 'nvidia, usa', 'center for language and speech processing, johns hopkins university']
taitelbaum18_interspeech	['engineering faculty, bar-ilan university, israel']
garg18_interspeech	['department of computer science and engineering, indian institute of technology bombay']
andresferrer18_interspeech	['nuance communications', 'name ∈{jesusandres.ferrer, nathan.bodenstab, paul.vozila}']
chung18_interspeech	['graduate institute of communication engineering, national taiwan university', 'department of electrical engineering, national taiwan university']
kraljevski18_interspeech	['voice inter connect gmbh, dresden, germany']
james18_interspeech	['department of electrical and computer engineering, university of auckland, new zealand']
tu18_interspeech	['speech and hearing science department', 'school of electrical, computer, and energy engineering', 'arizona state university']
wu18b_interspeech	['centre for signal and image processing, department of electronic and electrical engineering,', 'university of strathclyde, glasgow, scotland', 'speech and language therapy, school of psychological sciences and health, university of', 'strathclyde, glasgow, scotland']
tundik18_interspeech	['dept. of telecommunications and media informatics, budapest university of technology and', 'economics, budapest, hungary', 'research group on artificial intelligence, hungarian academy of sciences, szeged, hungary', 'spicy analytics ltd., budapest, hungary']
sarma18_interspeech	['center for language and speech processing, johns hopkins university, baltimore, md, usa', 'human language technology center of excellence, johns hopkins university, baltimore, md, usa', 'go-vivace inc., mclean, va, usa', 'department of electronics and communication engineering, gauhati university, guwahati, assam, india']
simantiraki18_interspeech	['language and speech laboratory, universidad del pais vasco, vitoria, spain', 'center for speech technology research, university of edinburgh, edinburgh, uk']
jati18_interspeech	['university of southern california, los angeles, ca, usa']
park18b_interspeech	['university of southern california, los angeles, ca, usa']
deng18_interspeech	['ai center, samsung research america, mountain view, ca, usa', 'university of california, san diego, la jolla, ca, usa']
guo18_interspeech	['department of electrical and computer engineering,', 'university of california, los angeles, ca, usa', 'snap inc., venice, ca, usa']
gong18b_interspeech	['department of computer science and engineering', 'university of notre dame, in 46556, usa']
qian18_interspeech	['department of electronic, electrical & systems engineering, the university of birmingham, uk']
mixdorff18_interspeech	['department of computer science and media, beuth university berlin, germany', 'limsi, cnrs, universite paris-saclay, france & federal university of rio de janeiro, brazil', 'the chinese university of hong kong, hong kong', 'faculty of linguistics & literary studies, university of bielefeld, germany']
ooster18_interspeech	['medizinische physik, carl von ossietzky universitat, oldenburg, germany', 'fraunhofer idmt - hearing, speech and audio technology, oldenburg, germany', 'cluster of excellence hearing4all, germany']
