paper_id	affiliations
mucke19_interspeech	['ifl-phonetics, university of cologne, germany', 'laboratoire de phonetique et phonologie, umr 7018, cnrs/sorbonne-nouvelle, france', 'cornell university, ithaca, united states', '\x02']
kleijn19_interspeech	['google llc., san francisco, ca', 'school of engineering and computer science, victoria university of wellington, new zealand']
ramanathi19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore 560012, india']
mannem19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore 560012, india', 'rajiv gandhi university of knowledge technologies (rgukt), kadapa', ', india']
springenberg19_interspeech	['university of hamburg - dept. of informatics, knowledge technology']
paraskevopoulos19_interspeech	
dhiman19_interspeech	['department of electrical engineering, indian institute of science, bangalore-12, india', 'department of computer science, university of crete, greece']
xu19_interspeech	['college of internet of things, nanjing university of posts and telecommunications, p.r. china', 'agile robots ag, germany', 'group on language audio and music, imperial college london, uk', 'school of information science and engineering, southeast university, p.r. china']
sudhakara19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore 560012, india']
saha19b_interspeech	['electrical engineering, jadavpur university, kolkata 700032, india', 'electrical engineering, indian institute of science (iisc), bangalore 560012, india']
vasquezcorrea19b_interspeech	['pattern recognition lab, friedrich-alexander-universitat, erlangen, germany.', 'faculty of engineering, universidad de antioquia udea, medellin, colombia.', 'department of otorhinolaryngology. ludwig-maximilians-university, munich, germany.', 'machine learning and data analysis lab, friedrich-alexander-universitat, erlangen, germany.', 'th rosenheim, rosenheim, germany.']
kiss19_interspeech	['budapest university of technology and economics, budapest, hungary']
yarra19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore 560012, india', 'rajiv gandhi university of knowledge technologies (rgukt), kadapa', ', india']
nissen19b_interspeech	['department of communication disorders, brigham young university, provo, utah, usa', 'news media, department of communications, brigham young university, provo, utah, usa']
miwardelli19_interspeech	
annand19_interspeech	['university of cincinnati - usa']
radostev19_interspeech	['ai and research, microsoft corporation']
ryant19_interspeech	"['linguistic data consortium, university of pennsylvania, philadelphia, pa, usa', 'baidu research, sunnyvale, ca, usa', ""laboratoire de sciences cognitives et de psycholinguistique, dept d'etudes cognitives, ens,"", 'ehess, cnrs, psl university, paris, france', 'university of science and technology of china, hefei, china', 'electrical engineering department, indian institute of science, bangalore, india']"
singh19_interspeech	['learning and extraction of acoustic patterns (leap) lab, indian institute of science', 'university of jaffna, sri lanka']
vinals19_interspeech	['vivolab, aragon institute for engineering research (i3a), university of zaragoza, spain']
zajic19_interspeech	['university of west bohemia', 'faculty of applied sciences', 'ntis - new technologies for the information society and 2dept. of cybernetics,', 'univerzitni 8', ' 14 plzeˇn, czech republic']
park19b_interspeech	['university of southern california, los angeles, ca, usa']
novoselov19_interspeech	['itmo university, st.petersburg, russia', 'stc-innovations ltd., st.petersburg, russia']
todisco19_interspeech	
lai19b_interspeech	['center for language and speech processing, johns hopkins university, baltimore, md, usa']
chettri19_interspeech	['school of eecs, queen mary university of london, united kingdom', 'school of eecs, kth royal institute of engineering, stockholm, sweden']
cai19_interspeech	['data science research center, duke kunshan university, kunshan, china', 'school of electronics and information technology, sun yat-sen university, guangzhou, china']
biaobrzeski19_interspeech	['samsung r&d institute poland']
